"","x"
"1","00/01-26-060-19W5/0"
"2","00/02-05-060-22W5/2"
"3","00/04-12-062-23W5/0"
"4","00/04-14-059-19W5/0"
"5","00/04-26-060-18W5/0"
"6","00/07-15-064-23W5/2"
"7","00/08-22-066-24W5/0"
"8","00/08-32-058-19W5/0"
"9","00/13-07-064-19W5/0"
"10","00/13-22-064-18W5/0"
"11","00/13-35-061-27W5/8"
"12","00/13-36-058-25W5/0"
"13","00/14-06-063-19W5/0"
"14","00/14-26-058-25W5/2"
"15","00/15-11-069-22W5/0"
"16","00/16-06-063-19W5/2"
"17","00/16-27-060-19W5/0"
"18","02/03-06-060-19W5/0"
"19","02/04-24-064-18W5/0"
"20","00/01-02-064-04W6/0"
"21","00/01-07-067-07W6/0"
"22","00/01-13-078-21W5/0"
"23","00/01-33-070-09W6/0"
"24","00/02-02-062-03W6/0"
"25","00/02-06-069-08W6/0"
"26","00/02-26-061-03W6/2"
"27","00/02-31-063-04W6/0"
"28","00/04-09-070-08W6/0"
"29","00/04-26-078-21W5/0"
"30","00/04-30-064-04W6/0"
"31","00/05-10-076-20W5/0"
"32","00/05-17-070-09W6/0"
"33","00/08-02-064-04W6/0"
"34","00/08-21-076-21W5/2"
"35","00/09-25-076-21W5/0"
"36","00/10-03-077-21W5/0"
"37","00/10-28-063-05W6/2"
"38","00/12-01-062-04W6/2"
"39","00/12-14-064-04W6/0"
"40","00/13-04-061-02W6/0"
"41","00/13-04-068-05W6/2"
"42","00/13-20-063-04W6/0"
"43","00/15-07-066-05W6/0"
"44","00/15-07-070-09W6/0"
"45","00/15-22-065-06W6/0"
"46","00/16-19-067-06W6/0"
"47","00/16-21-064-05W6/0"
"48","00/16-32-065-05W6/0"
"49","02/01-10-064-05W6/0"
"50","02/04-35-063-05W6/0"
"51","02/09-27-066-07W6/0"
"52","02/12-11-066-06W6/0"
"53","02/13-19-064-04W6/0"
"54","02/13-27-065-03W6/0"
"55","02/14-09-071-09W6/0"
"56","02/16-10-061-01W6/2"
"57","02/16-19-063-04W6/0"
"58","03/13-36-067-04W6/0"
"59","03/16-17-077-21W5/0"
"60","03/16-31-064-05W6/0"
"61","04/04-22-064-05W6/0"
"62","00/01-21-071-10W6/0"
"63","00/01-22-077-10W6/0"
"64","00/01-26-076-13W6/0"
"65","00/01-31-076-13W6/0"
"66","00/02-26-076-13W6/0"
"67","00/04-03-077-14W6/0"
"68","00/04-07-077-14W6/0"
"69","00/04-20-078-11W6/0"
"70","00/05-31-077-15W6/2"
"71","00/07-26-078-17W6/0"
"72","00/08-09-076-13W6/0"
"73","00/08-14-077-12W6/0"
"74","00/08-16-076-13W6/0"
"75","00/09-06-076-13W6/0"
"76","00/09-21-076-12W6/0"
"77","00/09-26-076-13W6/0"
"78","00/09-28-076-12W6/0"
"79","00/10-22-078-11W6/2"
"80","00/12-10-077-12W6/0"
"81","00/13-20-076-13W6/0"
"82","00/13-30-077-11W6/0"
"83","00/13-31-077-11W6/0"
"84","00/13-32-075-10W6/0"
"85","00/14-11-077-12W6/0"
"86","00/15-21-074-03W6/2"
"87","00/16-18-076-12W6/0"
"88","00/16-19-076-13W6/0"
"89","02/04-14-071-09W6/0"
"90","02/09-26-075-09W6/0"
"91","02/11-15-076-10W6/0"
"92","02/12-07-076-12W6/0"
"93","02/13-27-077-12W6/0"
"94","00/01-03-080-19W6/2"
"95","00/01-22-080-16W6/0"
"96","00/03-03-079-11W6/0"
"97","00/04-27-080-16W6/0"
"98","00/04-30-080-17W6/0"
"99","00/05-18-080-17W6/0"
"100","00/08-08-080-19W6/0"
"101","00/08-14-080-18W6/0"
"102","00/10-21-080-16W6/0"
"103","00/12-18-080-17W6/0"
"104","00/13-33-079-14W6/0"
"105","00/13-34-080-16W6/0"
"106","00/14-22-080-16W6/0"
"107","00/16-07-079-11W6/0"
"108","00/16-22-080-16W6/0"
"109","02/04-31-080-15W6/0"
"110","02/05-13-080-18W6/0"
"111","02/08-14-080-18W6/0"
"112","02/12-30-080-15W6/0"
"113","02/13-06-080-15W6/0"
"114","02/13-23-080-16W6/0"
"115","02/16-02-079-18W6/0"
"116","03/05-31-080-15W6/0"
"117","04/09-11-080-18W6/0"
"118","00/01-19-087-03W6/0"
"119","00/04-05-084-05W6/0"
"120","00/04-07-082-19W6/2"
"121","00/05-08-082-19W6/0"
"122","00/06-18-083-19W6/0"
"123","00/07-14-083-21W6/0"
"124","00/13-12-081-17W6/0"
"125","00/16-34-085-18W6/0"
"126","02/01-28-083-25W6/0"
"127","02/07-05-082-19W6/0"
"128","02/09-14-082-20W6/0"
"129","03/01-28-083-25W6/0"
"130","00/A-003-G/093-P-09/2"
"131","00/A-014-H/093-P-09/0"
"132","00/A-017-G/093-P-09/0"
"133","00/A-042-H/093-P-09/0"
"134","00/A-047-H/093-P-09/0"
"135","00/A-050-C/094-A-13/2"
"136","00/A-053-I/094-B-01/0"
"137","00/A-075-I/094-B-01/0"
"138","00/A-082-G/094-B-08/0"
"139","00/A-099-B/093-P-09/0"
"140","00/B-010-H/093-P-09/0"
"141","00/B-025-H/093-P-09/0"
"142","00/B-073-I/094-B-01/0"
"143","00/B-093-C/094-B-16/0"
"144","00/B-100-H/094-B-09/0"
"145","00/C-009-G/093-P-09/0"
"146","00/C-010-H/093-P-09/0"
"147","00/C-023-J/094-B-08/0"
"148","00/C-044-I/094-B-16/3"
"149","00/C-047-H/093-P-09/0"
"150","00/C-048-H/093-P-09/0"
"151","00/D-011-H/093-P-09/0"
"152","02/A-075-I/094-B-01/0"
"153","02/B-043-H/093-P-09/0"
"154","02/B-044-H/093-P-09/0"
"155","02/B-045-C/094-G-01/0"
"156","02/B-100-H/094-B-09/0"
"157","02/C-006-B/094-G-01/0"
"158","02/C-067-K/094-B-16/0"
"159","02/D-005-H/093-P-09/0"
"160","03/B-100-H/094-B-09/0"
"161","00/01-23-077-12W6/0"
"162","03/03-08-064-05W6/0"
"163","00/B-086-H/094-G-02/0"
"164","00/C-002-F/094-G-10/0"
"165","00/C-041-G/094-G-07/2"
"166","00/C-081-G/094-B-09/0"
"167","00/C-097-B/094-G-02/0"
"168","00/D-041-C/094-G-08/0"
"169","00/D-041-G/094-G-07/0"
"170","00/D-055-J/094-G-01/0"
"171","02/A-019-F/094-G-07/2"
"172","02/B-020-A/094-G-08/0"
"173","02/C-002-F/094-G-10/0"
"174","02/C-046-H/094-G-08/0"
"175","02/C-050-B/094-G-08/0"
"176","02/C-062-K/094-G-01/0"
"177","02/D-022-J/094-B-09/0"
"178","02/D-082-F/094-G-02/0"
"179","03/B-049-J/094-G-02/0"
"180","04/B-056-H/094-G-08/0"
"181","04/B-070-J/094-G-07/0"
"182","05/B-070-J/094-G-07/0"
