"","x"
"1","00/01-01-064-18W5/0"
"2","00/01-01-064-19W5/0"
"3","00/01-02-064-23W5/0"
"4","00/01-05-059-19W5/0"
"5","00/01-07-064-18W5/0"
"6","00/01-08-064-18W5/0"
"7","00/01-08-067-24W5/0"
"8","00/01-09-064-18W5/0"
"9","00/01-09-069-25W5/2"
"10","00/01-12-064-18W5/0"
"11","00/01-14-066-25W5/0"
"12","00/01-16-067-24W5/0"
"13","00/01-20-059-19W5/0"
"14","00/01-22-064-18W5/2"
"15","00/01-22-066-24W5/2"
"16","00/01-24-063-26W5/0"
"17","00/01-25-055-26W5/2"
"18","00/01-28-066-24W5/0"
"19","00/01-29-066-24W5/0"
"20","00/01-35-063-20W5/2"
"21","00/01-35-063-23W5/0"
"22","00/01-36-059-20W5/0"
"23","00/01-36-063-26W5/0"
"24","00/01-36-066-24W5/0"
"25","00/02-01-060-23W5/0"
"26","00/02-03-061-18W5/0"
"27","00/02-06-067-24W5/0"
"28","00/02-07-064-18W5/0"
"29","00/02-08-064-18W5/0"
"30","00/02-10-064-18W5/0"
"31","00/02-11-059-20W5/0"
"32","00/02-11-064-20W5/0"
"33","00/02-15-064-23W5/0"
"34","00/02-21-064-18W5/0"
"35","00/02-22-061-27W5/0"
"36","00/02-25-065-25W5/0"
"37","00/02-28-066-24W5/0"
"38","00/02-33-059-20W5/0"
"39","00/02-34-066-25W5/0"
"40","00/03-04-059-19W5/2"
"41","00/03-05-063-26W5/0"
"42","00/03-08-064-18W5/0"
"43","00/03-10-064-18W5/0"
"44","00/03-11-059-20W5/0"
"45","00/03-11-064-23W5/0"
"46","00/03-13-067-25W5/0"
"47","00/03-18-064-17W5/0"
"48","00/03-23-063-23W5/0"
"49","00/03-27-066-25W5/0"
"50","00/03-31-061-26W5/0"
"51","00/04-01-064-25W5/2"
"52","00/04-01-066-24W5/2"
"53","00/04-02-062-23W5/2"
"54","00/04-05-067-23W5/0"
"55","00/04-06-064-19W5/0"
"56","00/04-08-064-18W5/0"
"57","00/04-11-060-20W5/2"
"58","00/04-21-064-18W5/0"
"59","00/04-25-063-23W5/0"
"60","00/04-26-064-18W5/2"
"61","00/04-32-063-23W5/0"
"62","00/04-35-066-24W5/2"
"63","00/05-02-064-18W5/0"
"64","00/05-04-067-24W5/0"
"65","00/05-05-068-24W5/2"
"66","00/05-15-065-25W5/2"
"67","00/05-17-064-18W5/0"
"68","00/05-27-063-23W5/0"
"69","00/05-35-061-26W5/2"
"70","00/05-35-066-24W5/0"
"71","00/06-04-069-24W5/0"
"72","00/06-06-067-24W5/0"
"73","00/06-16-069-25W5/0"
"74","00/06-23-067-25W5/0"
"75","00/06-27-066-25W5/0"
"76","00/06-33-065-25W5/0"
"77","00/07-23-064-18W5/0"
"78","00/07-24-066-25W5/0"
"79","00/08-01-064-18W5/0"
"80","00/08-06-067-24W5/0"
"81","00/08-10-064-23W5/0"
"82","00/08-20-062-26W5/0"
"83","00/08-21-064-18W5/0"
"84","00/08-25-066-24W5/0"
"85","00/08-26-066-24W5/0"
"86","00/08-32-075-20W5/0"
"87","00/08-35-063-23W5/0"
"88","00/08-36-059-20W5/0"
"89","00/08-36-066-24W5/0"
"90","00/08-36-067-25W5/0"
"91","00/09-01-064-18W5/0"
"92","00/09-01-067-25W5/0"
"93","00/09-05-064-18W5/0"
"94","00/09-10-064-23W5/0"
"95","00/09-13-060-19W5/0"
"96","00/09-18-064-18W5/2"
"97","00/09-18-065-25W5/0"
"98","00/09-18-075-19W5/0"
"99","00/09-20-069-25W5/0"
"100","00/09-21-061-26W5/2"
"101","00/09-22-069-25W5/0"
"102","00/09-26-066-25W5/2"
"103","00/09-29-069-19W5/2"
"104","00/09-32-075-20W5/0"
"105","00/09-34-059-19W5/2"
"106","00/09-34-065-25W5/0"
"107","00/09-35-063-23W5/0"
"108","00/10-19-065-25W5/0"
"109","00/10-25-066-25W5/0"
"110","00/10-26-066-25W5/0"
"111","00/11-12-066-25W5/0"
"112","00/11-15-067-24W5/0"
"113","00/11-22-069-25W5/2"
"114","00/11-24-065-25W5/0"
"115","00/11-26-066-25W5/0"
"116","00/12-02-064-18W5/0"
"117","00/12-03-064-23W5/0"
"118","00/12-05-067-24W5/0"
"119","00/12-06-064-18W5/0"
"120","00/12-09-064-23W5/0"
"121","00/12-17-059-22W5/2"
"122","00/12-18-059-19W5/0"
"123","00/12-20-058-27W5/3"
"124","00/12-23-066-24W5/0"
"125","00/12-25-062-23W5/0"
"126","00/12-25-063-23W5/0"
"127","00/12-26-066-25W5/0"
"128","00/12-30-066-24W5/0"
"129","00/12-32-067-24W5/2"
"130","00/12-33-063-23W5/0"
"131","00/12-36-065-24W5/2"
"132","00/13-02-063-26W5/0"
"133","00/13-03-064-23W5/0"
"134","00/13-03-066-24W5/2"
"135","00/13-04-064-18W5/0"
"136","00/13-04-067-24W5/0"
"137","00/13-05-067-24W5/0"
"138","00/13-06-064-18W5/0"
"139","00/13-13-062-23W5/0"
"140","00/13-13-064-18W5/0"
"141","00/13-14-067-24W5/0"
"142","00/13-15-064-18W5/0"
"143","00/13-15-067-24W5/2"
"144","00/13-18-059-19W5/0"
"145","00/13-19-059-19W5/0"
"146","00/13-22-061-26W5/0"
"147","00/13-23-060-23W5/0"
"148","00/13-24-059-20W5/0"
"149","00/13-24-060-23W5/0"
"150","00/13-24-063-23W5/0"
"151","00/13-26-066-24W5/0"
"152","00/13-27-063-23W5/0"
"153","00/13-27-066-24W5/2"
"154","00/13-29-063-23W5/0"
"155","00/13-30-059-19W5/2"
