UWI,Zone,Fracs Placed,Per Frac Test Rate,Tonnage per Frac,Water per Frac,Average Pumping Rate,Average Breakdown Pressure (Mpa),Average Pumping Pressure (Mpa)
00/13-24-059-20W5/0,All Montney,13,,10.16153846,60.68538462,,35.96666667,
00/14-24-059-20W5/0,All Montney,19,,10.17894737,52.47368421,,,
00/13-25-059-20W5/0,All Montney,12,,10,52.5,2.5,,
02/14-25-059-20W5/0,All Montney,14,,11.71428571,54.07142857,,28.39285714,
00/15-25-059-20W5/0,All Montney,30,,10,43.06333333,3.5,37.64417874,32.61424517
02/15-25-059-20W5/0,All Montney,32,,9.996875,43.859375,2.628621304,37.78665479,28.000513
00/01-26-059-20W5/0,All Montney,,,,,,,
00/01-26-059-20W5/2,All Montney,,,,,,,
00/13-26-059-20W5/0,All Montney,33,,16.36363636,46.55757576,2.6,36.36232101,30.56014059
00/14-26-059-20W5/0,All Montney,22,,10,54.35,,,
02/15-26-059-20W5/0,All Montney,16,,10,41.66875,,,
04/15-26-059-20W5/0,All Montney,33,,20,83.75454545,4.658334238,31.07338543,27.56416296
00/16-26-059-20W5/3,All Montney,7,,10.05714286,40.43285714,,29.48,
00/13-27-059-20W5/0,All Montney,13,,11,37.42923077,,,
00/16-27-059-20W5/0,All Montney,12,,10,32.72916667,,,
00/15-28-059-20W5/0,All Montney,12,,10,28.21666667,,,
00/01-33-059-20W5/0,All Montney,16,,16,37.5045625,3.637340881,40.50062002,30.35614796
00/02-33-059-20W5/0,All Montney,16,,11,42.3125,3.638552437,42.43618907,34.40324963
00/04-33-059-20W5/0,All Montney,16,,16,58.090625,3.035441796,46.39570643,32.56685334
00/03-34-059-20W5/0,All Montney,9,,10,28.53333333,,,
00/09-34-059-20W5/0,All Montney,12,,10,31.83833333,,,
00/16-34-059-20W5/0,All Montney,12,,10,33.00583333,,,
02/04-35-059-20W5/0,All Montney,18,,9.833333333,23,,41.44615385,
00/05-35-059-20W5/0,All Montney,15,,10,32.53333333,2.611946721,34.93762295,25.70221311
00/12-35-059-20W5/0,All Montney,15,,9.18,35.52,2.5,32.70561266,26.53847598
00/13-35-059-20W5/0,All Montney,12,,10,,,,
