UWI,Zone,Fracs Placed,Per Frac Test Rate,Tonnage per Frac,Water per Frac,Average Pumping Rate,Average Breakdown Pressure (Mpa),Average Pumping Pressure (Mpa)
00/16-07-062-05W6/0,All Montney,26,,59.25769231,519.9169231,4.115450982,49.29955157,68.4724586
00/16-12-062-05W6/0,All Montney,,,,,,,
02/02-24-062-05W6/2,All Montney,22,,97.54045455,565.7227273,8.649638837,,59.69487783
02/13-36-062-05W6/0,All Montney,14,,62,173.4571429,3.985639466,48.16478568,41.36102493
02/16-13-062-06W6/0,All Montney,,,,,,,
00/11-08-063-01W6/0,All Montney,22,,147.6804545,1023.064091,9.94241357,54.68203263,57.30064485
00/13-10-063-02W6/2,All Montney,15,,55.66666667,82.24666667,4,,46.58275879
00/03-30-063-02W6/3,All Montney,,,,,,,
00/01-05-063-03W6/0,All Montney,18,,140.4168333,901.5202778,4.4928,50.54962158,54.25922496
00/15-09-063-03W6/0,All Montney,29,,119.4691724,179.8655172,8.022750863,48.60322201,70.16014354
00/03-19-063-03W6/2,All Montney,35,,115,255.2005714,5.945745161,32.20074979,63.93750494
00/14-20-063-03W6/0,All Montney,14,,56.47571429,102.6571429,,55.2122631,
00/09-22-063-03W6/0,All Montney,19,,129,206.0421053,5.3775,49.90690093,53.27
00/09-25-063-03W6/4,All Montney,18,,37,88.86777778,,,
00/05-30-063-03W6/0,All Montney,36,,123.1861667,175.2833333,6.672972973,52.87122698,69.16378378
00/09-30-063-03W6/0,All Montney,1,,93.1,374.3,2.987603527,45.3,41.19235907
00/09-05-063-04W6/0,All Montney,20,,62,221.4935,,,
00/16-05-063-04W6/0,All Montney,19,,61,231.6,3.138664667,54.29764567,44.77110717
02/12-07-063-04W6/0,All Montney,20,,61,199.35,2.929558565,,43.32693504
03/13-07-063-04W6/0,All Montney,17,,61,190.5529412,2.818926344,,42.44678335
04/13-07-063-04W6/0,All Montney,21,,125,149.5714286,7.003159192,56.31640032,67.50487914
00/09-08-063-04W6/0,All Montney,20,,61,201.67,3.230740814,,40.00986761
00/16-08-063-04W6/0,All Montney,19,,61,209.2368421,3.248165011,,44.04993334
02/16-08-063-04W6/0,All Montney,20,,125,158.9955,7.349848769,58.193,69.32871866
00/02-17-063-04W6/0,All Montney,22,,61,184.9772727,3.994237621,59.78005317,38.81398698
00/03-17-063-04W6/0,All Montney,21,,60.9952381,188.5904762,4,60.34528001,38.95099737
02/03-17-063-04W6/0,All Montney,20,,61.415,196.965,2.8,64.42640825,43.12437997
00/04-17-063-04W6/0,All Montney,21,,61.00952381,192.9285714,2.796022214,62.21447821,40.68598544
02/04-17-063-04W6/0,All Montney,22,,59.95454545,200.8863636,3.996040276,61.77300261,40.76108157
00/10-18-063-04W6/0,All Montney,37,,121.2091892,271.8013514,6.290976904,51.70832666,68.15165029
00/14-18-063-04W6/0,All Montney,34,,119.8970588,213.3588235,2.522511097,31.98014019,60.4741019
00/15-18-063-04W6/0,All Montney,28,,158.9192857,250.5214286,3.792967525,48.33586343,69.85911813
04/02-19-063-04W6/0,All Montney,28,,210.2152857,298.9392857,8.805258858,47.65575188,70.71619709
02/16-19-063-04W6/0,All Montney,36,,120,182.9916667,4.94081788,46.13398242,58.10602335
00/13-20-063-04W6/0,All Montney,14,,61.00714286,183.5428571,3.991691314,58.42486834,39.17195283
02/13-20-063-04W6/0,All Montney,16,,61.0125,184.94375,3.99408604,55.89750516,38.31455848
00/14-20-063-04W6/0,All Montney,15,,60.36666667,192.34,3.991585734,57.9270229,41.64451839
02/14-20-063-04W6/0,All Montney,14,,61,183.5928571,3.993191456,56.86055042,37.53872311
00/15-20-063-04W6/0,All Montney,13,,61,185.6384615,3.985891932,57.39113829,36.7711101
00/12-21-063-04W6/0,All Montney,16,,61,184.025625,3.758288065,48.79972652,38.31816227
02/13-21-063-04W6/0,All Montney,16,,61,114.824375,2.77617107,51.01572691,32.15812922
03/13-21-063-04W6/0,All Montney,,,,,,,
00/16-21-063-04W6/0,All Montney,,,,,,,
00/05-25-063-04W6/0,All Montney,,,,,,,
00/01-27-063-04W6/2,All Montney,22,,125,157.5236364,,,
02/01-27-063-04W6/0,All Montney,24,,125.4125,166.28125,5.298051118,54.71622619,66.39458247
00/02-27-063-04W6/0,All Montney,20,,125.175,152.541,6.010911329,60.40995498,64.79992618
02/02-27-063-04W6/0,All Montney,21,,125.7433333,162.0147619,5.902183507,59.49125668,62.79027295
02/03-27-063-04W6/0,All Montney,22,,125.35,150.7804545,6.032315618,59.46978459,61.57918617
03/03-27-063-04W6/0,All Montney,20,,125,148.969,6.32553708,59.43148527,63.49702447
00/13-27-063-04W6/0,All Montney,18,,61,130.515,2.606492542,54.31492882,34.42631476
02/13-27-063-04W6/0,All Montney,17,,101,299.4235294,5.575668517,51.98714956,42.76986326
00/15-27-063-04W6/0,All Montney,,,,,,,
00/02-28-063-04W6/0,All Montney,22,,125,157.2090909,6.159196018,50.89828113,67.07344948
02/02-28-063-04W6/2,All Montney,22,,126.2081818,160.7,5.872457615,53.47727273,66.63478261
00/03-28-063-04W6/0,All Montney,19,,125,155.9473684,7.163612892,54.07665225,64.80557508
02/03-28-063-04W6/0,All Montney,20,,125,155.025,6.100758749,52.74295493,65.73538034
00/04-28-063-04W6/0,All Montney,21,,125,150.9238095,7.093489142,56.67390989,63.92299173
02/04-28-063-04W6/0,All Montney,20,,125.01,151.93,7.155660253,58.10911966,64.10219755
00/14-28-063-04W6/0,All Montney,,,,,,,
02/15-28-063-04W6/0,All Montney,23,,61,162.2626087,3.54878679,52.56523026,37.74732115
02/16-28-063-04W6/2,All Montney,16,450,58.98,203.2,4.388471949,46.37567052,
03/16-28-063-04W6/0,All Montney,17,,100.4764706,310.7235294,5.588412245,58.74117647,45.94743199
00/12-30-063-04W6/0,All Montney,28,,160,250.1107143,,,
00/02-31-063-04W6/0,All Montney,28,,160.1358571,244.6857143,8.296518858,46.38671232,68.19719319
02/05-31-063-04W6/0,All Montney,27,,115.0355556,163.4074074,6.612660925,44.72737534,57.10750227
05/05-31-063-04W6/0,All Montney,19,,169.2089474,262.8947368,6.843512372,49.54162763,57.77002615
00/14-31-063-04W6/0,All Montney,19,,165,261.6315789,,,
02/15-33-063-04W6/0,All Montney,17,,61,111.5882353,4.072370377,56.25318329,37.09864835
00/16-33-063-04W6/0,All Montney,20,,61,198.235,3.997124395,45.63630883,38.43576704
00/01-34-063-04W6/2,All Montney,20,,101,303.04,,,
00/05-34-063-04W6/0,All Montney,,,,,,,
02/13-34-063-04W6/2,All Montney,18,,61,147.8555556,3.995534374,45.85607951,37.14683278
00/05-35-063-04W6/0,All Montney,28,,115.1785714,206.6,6.821104619,27.01971364,64.37582266
00/04-07-063-05W6/0,All Montney,12,,66.525,173.135,3.465651507,59.23137907,60.47976318
02/04-13-063-05W6/0,All Montney,27,,115.1851852,223.8,3.587081663,37.74906656,59.11438609
02/11-13-063-05W6/0,All Montney,16,,45.60375,98.5875,,50.28192378,54.09090148
00/13-17-063-05W6/0,All Montney,15,,51.46666667,110.5133333,4.427598339,39.00967801,58.13572788
00/16-17-063-05W6/0,All Montney,10,,161,957.21,10.82526374,61.88745103,64.88336729
02/02-18-063-05W6/0,All Montney,14,,150.4492857,861.8642857,9.333669652,54.67631712,67.30502349
02/03-19-063-05W6/0,All Montney,15,,96,144.092,5.526921563,53.87054502,59.73071562
00/04-19-063-05W6/0,All Montney,39,,45,285.9205128,3.797561632,64.5772135,62.32245344
00/08-20-063-05W6/0,All Montney,14,,157.7307143,916.3442857,8.466347295,63.82659155,68.08990694
00/09-20-063-05W6/0,All Montney,37,,62.02027027,393.4783784,6.177323112,53.42151566,60.54235818
00/16-20-063-05W6/0,All Montney,77,,35.72077922,191.7,4.728087485,42.0268731,74.15682639
00/04-22-063-05W6/0,All Montney,19,,61.1,183.3710526,2.97147429,58.77091866,41.77185459
02/04-22-063-05W6/0,All Montney,20,,59.07,202.295,3.75952381,61.42,45.39465514
00/05-22-063-05W6/0,All Montney,18,,61.09444444,186.3888889,2.991213115,63.66562948,42.65665276
02/05-22-063-05W6/0,All Montney,19,,61.12105263,180.3684211,2.959098337,60.32801578,40.15976072
00/12-22-063-05W6/0,All Montney,19,,59.53684211,185.9473684,3.853422478,55.46004121,40.90037836
00/01-23-063-05W6/0,All Montney,18,,65.23944444,179.9444444,3.863766595,61.06184801,38.18588144
02/01-23-063-05W6/0,All Montney,19,,66.60421053,179.6,3.894408627,57.32956141,36.69175067
00/08-23-063-05W6/0,All Montney,17,,66.35705882,181.9235294,3.897157823,59.18749189,39.47356032
02/08-23-063-05W6/0,All Montney,17,,65.47058824,199.4764706,2.849282196,61.40609444,41.6443717
00/09-23-063-05W6/0,All Montney,18,,66.53388889,178.5944444,2.796422683,56.39389351,35.45941456
02/04-24-063-05W6/0,All Montney,24,,174.0208333,1145.8875,11.14188893,44.52671304,71.89083692
02/05-24-063-05W6/0,All Montney,23,,210.36,305.0652174,6.482452942,50.52878308,68.83994965
02/12-24-063-05W6/0,All Montney,28,,140,194.6342857,4.581426629,51.91099052,57.44054071
03/12-24-063-05W6/0,All Montney,25,,149.82224,332.168,6.029228211,56.79611375,71.04938194
00/05-26-063-05W6/0,All Montney,28,,160.1495714,253.3578571,9.086206897,47.12355759,71.55862069
00/12-26-063-05W6/0,All Montney,28,,160.8129643,279.0928571,4.2,46.24481739,71.17931034
00/13-26-063-05W6/0,All Montney,37,,75.28459459,403.1810811,6.319481287,39.1810567,46.06052743
02/13-26-063-05W6/0,All Montney,21,,120.771619,255.047619,8.419591113,48.05457687,68.12338142
00/04-27-063-05W6/0,All Montney,35,,120.3521857,277.92,2.162267359,37.82902916,62.6392968
00/06-27-063-05W6/0,All Montney,26,,238.5753462,334.4346154,4.096296296,48.7351139,69.82092963
02/07-27-063-05W6/0,All Montney,28,,155.3114286,275.7642857,4.016666667,43.77852333,71.16896552
02/08-27-063-05W6/0,All Montney,36,,123.8972222,815.7305556,11.23783784,45.32145875,77.54054818
00/10-28-063-05W6/2,All Montney,8,,99.11475,558.2857143,3,59.75,58
00/03-30-063-05W6/0,All Montney,,,,,,,
00/13-30-063-05W6/0,All Montney,33,,45,278.8333333,4.109193066,53.21134924,58.91286964
00/14-30-063-05W6/0,All Montney,14,,68,120.2892857,5.52818568,56.14952214,62.04899879
03/14-30-063-05W6/2,All Montney,10,,120,210.9,3.718333333,61.4041501,56.5373328
00/08-34-063-05W6/0,All Montney,28,,80,418.75,6.822325297,47.01773408,55.98929553
02/08-34-063-05W6/0,All Montney,34,,120.8249118,291.7705882,7.616666667,49.25985585,67.30555556
03/03-35-063-05W6/0,All Montney,25,,172.029328,257.504,7.667375264,52.48364082,67.80685048
02/04-35-063-05W6/0,All Montney,36,,125,158.4983333,4.25311611,40.52676699,58.76016525
03/04-35-063-05W6/0,All Montney,25,,120,258.724,7.869416201,49.37560171,68.69324721
00/06-35-063-05W6/0,All Montney,36,,125.0318611,199.925,2.588877774,48.370485,68.94517917
00/01-36-063-05W6/0,All Montney,19,,166.1389474,190.4421053,6.157142857,45.65816824,56.72857143
00/14-02-063-06W6/0,All Montney,18,,63.125,156.34375,1.67647206,51.8521699,48.53926188
00/01-11-063-06W6/0,All Montney,66,,34.96212121,202.7106061,3.481044776,48.87710212,65.8880597
00/08-11-063-06W6/0,All Montney,64,,35,194.2546875,,,
00/01-14-063-06W6/0,All Montney,,,,,,,
00/01-14-063-06W6/2,All Montney,48,,45,296.4208333,3.675394547,53.47424044,67.15535025
00/01-14-063-06W6/3,All Montney,1,,10.15,112.2,4,45.6,43.2
00/05-23-063-06W6/2,All Montney,7,,227,1033.485714,6.305,64.92375502,65.36192805
00/13-23-063-06W6/0,All Montney,60,,35,198.5033333,3.930240382,51.45023388,64.75034473
00/13-25-063-06W6/0,All Montney,,,,,,,
00/14-25-063-06W6/0,All Montney,84,,35.55833333,219.35,3.502352941,44.8227588,68.05752941
00/15-25-063-06W6/0,All Montney,85,,35.16,235.7729412,3.644262359,47.86352155,65.54287217
00/16-25-063-06W6/0,All Montney,8,,180,1054.9375,9.469177389,57.24378203,59.89128602
02/06-29-063-06W6/0,All Montney,,,,,,,
00/04-33-063-06W6/0,All Montney,17,,60.36117647,146.1129412,2.804569189,57.3020832,44.39928037
00/15-04-064-03W6/0,All Montney,29,,115.0806897,157.1694483,4.988666667,53.26658918,58.53855505
00/03-05-064-03W6/3,All Montney,22,,198.27,283.5181818,6.130060602,52.20207298,62.55414916
00/11-05-064-03W6/6,All Montney,28,,130,178.1857143,5.451168868,53.79240697,57.57619048
02/02-06-064-03W6/2,All Montney,37,,115.7565676,199.2054054,6.206578947,52.9827279,64.38991398
02/07-06-064-03W6/0,All Montney,34,,116.5673235,263.8214706,2.622368421,53.38203704,64.64724062
03/07-06-064-03W6/0,All Montney,36,,115.7263333,200.8444444,6.538775448,54.20218773,65.57067797
00/08-06-064-03W6/2,All Montney,12,,120,228.2833333,4.333632373,78.66504676,83.393682
02/08-06-064-03W6/0,All Montney,36,,114.1456667,246.3333333,5.785865612,58.01753328,64.5414028
02/14-06-064-03W6/0,All Montney,,,,,,,
00/09-18-064-03W6/0,All Montney,27,,85.11111111,289.702963,14.4,54.504,52.76321429
00/04-32-064-03W6/0,All Montney,20,,60,91.08,4.554229288,50.8,54.38192045
00/01-02-064-04W6/0,All Montney,18,,101.0388889,287.2722222,5.484800518,56.61093121,47.74986559
02/01-02-064-04W6/0,All Montney,18,,101.0611111,287.8055556,5.323964868,59.10391418,45.88072194
W0/05-02-064-04W6/0,All Montney,,,,,,,
W0/05-02-064-04W6/2,All Montney,,,,,,,
00/08-02-064-04W6/0,All Montney,17,,101.3411765,291.3470588,7.736774415,53.42589381,44.43638273
00/03-04-064-04W6/0,All Montney,28,,159.4690714,273.6357143,7.927176736,48.28650935,67.17806081
00/07-04-064-04W6/0,All Montney,28,,160.0778571,234.8214286,6.996708745,49.03191937,69.10967021
00/10-04-064-04W6/0,All Montney,28,,159.8484286,234.225,6.768641264,49.40740741,69.56246893
02/09-05-064-04W6/0,All Montney,23,,117.7434783,178.8565217,7.65322216,50.18020849,58.1406654
02/16-05-064-04W6/0,All Montney,23,,120.858087,166.7217391,2.849235905,55.65649532,57.87803052
00/01-08-064-04W6/0,All Montney,23,,117,167.1565217,,,
00/04-09-064-04W6/0,All Montney,20,,124.75,177.43,7.095252995,55.61280442,58.26028753
00/09-12-064-04W6/0,All Montney,24,,116.32,1156.507083,8.091666667,43.56315789,47.51923077
02/12-12-064-04W6/0,All Montney,,,,,,,
00/12-14-064-04W6/0,All Montney,28,,120,631.9964286,5.783785361,47.6186676,48.59334412
00/11-18-064-04W6/0,All Montney,21,,82.04761905,115.5285714,,47.61540055,52.99584931
00/12-18-064-04W6/0,All Montney,21,,82.04761905,115.5285714,,,
02/13-18-064-04W6/0,All Montney,27,,114,196.7222222,5.717857143,35.2203045,56.36071429
03/13-18-064-04W6/0,All Montney,26,,127.6247308,220.7203846,7.017805856,50.88043299,67.68121373
04/13-18-064-04W6/0,All Montney,23,,124.4218696,200.6834783,6.76,48.37336655,65.272
00/14-18-064-04W6/0,All Montney,28,,114.1428571,168.0357143,5.846666667,29.40479703,55.82666667
00/04-19-064-04W6/0,All Montney,28,,122.959,234.5285714,6.4163885,51.3042007,64.94205218
00/13-19-064-04W6/0,All Montney,28,,243.0667857,350.8392857,3.660444852,51.04919667,63.81466563
02/13-19-064-04W6/0,All Montney,29,,240,342.4472414,,,
00/14-26-064-04W6/0,All Montney,28,,148.7071429,290.4892857,5.714814815,47.2212662,51.3124
00/03-28-064-04W6/2,All Montney,15,,60,80.46,5.18125,49.31333333,28
00/14-28-064-04W6/0,All Montney,,,,,,,
00/08-29-064-04W6/2,All Montney,10,470,55.63,72.95625,5.4125,49.4875,
02/02-30-064-04W6/0,All Montney,27,,159.8037037,1021.774074,9.665291305,40.3533183,60.11623699
03/03-30-064-04W6/0,All Montney,30,,159.1725667,337.9966667,3.663305065,51.73246302,62.1592139
04/03-30-064-04W6/0,All Montney,30,,156.29,1019.676667,10.27626143,41.60754428,59.05483078
00/04-30-064-04W6/0,All Montney,31,,160,270.9548387,,,
03/04-30-064-04W6/0,All Montney,31,,160.2221935,311.5225806,3.754510624,46.63534851,63.11312557
00/14-33-064-04W6/0,All Montney,13,,150,991.0861538,11.62910305,53.88833903,61.65988966
00/10-01-064-05W6/0,All Montney,36,,123.1376944,208.9172222,6.515965122,52.25141072,66.91460093
02/11-01-064-05W6/0,All Montney,37,,120.4551351,195.9427027,7.153622681,49.54837254,67.60271956
00/15-01-064-05W6/0,All Montney,34,,119.6830882,282.2617647,5.377358491,54.5678942,67.70506371
02/15-01-064-05W6/0,All Montney,39,,114.0389744,231.0541026,3.675107223,25.1927724,67.12128173
00/16-01-064-05W6/0,All Montney,,,,,,,
02/16-01-064-05W6/0,All Montney,,,,,,,
00/13-05-064-05W6/0,All Montney,25,,160.61992,401.404,3.196666667,51.86659864,59.98692788
00/03-08-064-05W6/0,All Montney,30,,152.513,320.8433333,3.167759966,51.76337361,70.74896263
02/04-08-064-05W6/0,All Montney,27,,160.780963,336.8314815,3.823277933,54.84611646,68.47910924
02/05-08-064-05W6/0,All Montney,27,,159.9814815,1034.203704,8.986778121,50.11216982,61.6071798
03/05-08-064-05W6/0,All Montney,28,,160.0142857,1107.1,8.482758621,50.48682175,61.12758621
00/06-08-064-05W6/0,All Montney,26,,154.05,1096.569231,8.607862635,51.63555913,60.26438963
05/07-08-064-05W6/0,All Montney,31,,125,235.2548387,5.020358157,48.99708722,58.68994364
00/08-08-064-05W6/0,All Montney,28,,130,155.1357143,6.539130435,,58.76911657
02/09-08-064-05W6/0,All Montney,29,,125.8449655,215.3724138,6.107504243,55.23256749,67.24922668
02/01-10-064-05W6/0,All Montney,19,,80,135.4736842,6.745,48.70702479,58.23360528
00/06-10-064-05W6/0,All Montney,29,,160,304.1103448,,,
02/06-10-064-05W6/0,All Montney,28,,141.7796429,437.7060714,2.961319719,54.38125834,60.49401203
00/07-10-064-05W6/0,All Montney,28,,159.787075,380.9071429,3.425470212,50.66050075,61.56961272
00/08-10-064-05W6/0,All Montney,30,,55,120.1,5.135806452,49.95410236,59.93548387
00/10-10-064-05W6/0,All Montney,28,,160,284.875,,,
00/16-10-064-05W6/0,All Montney,26,,166.196,230.6153846,2.621025684,51.84904208,67.89517265
02/16-10-064-05W6/0,All Montney,28,,160,266.5535714,,,
00/05-11-064-05W6/0,All Montney,28,,55.74957143,112.6285714,6.812756849,51.16397248,61.73574962
00/11-11-064-05W6/0,All Montney,,,,,,,
00/01-12-064-05W6/0,All Montney,37,,121.7376216,188.3186486,7.204769197,46.99963414,63.55008398
02/01-12-064-05W6/0,All Montney,26,,172.4215423,255.8796154,8.163125031,46.65611854,65.08025894
03/01-12-064-05W6/0,All Montney,28,,160,332.0714286,,,
04/01-12-064-05W6/0,All Montney,,,,,,,
00/11-12-064-05W6/0,All Montney,,,,,,,
00/14-12-064-05W6/0,All Montney,28,,160,256.1414286,,,
03/15-12-064-05W6/0,All Montney,28,,160,921.675,,,
04/15-12-064-05W6/0,All Montney,,,,,,,
02/01-13-064-05W6/0,All Montney,27,,159.9003704,253.6814815,8.218879026,50.88669721,71.01123668
03/01-13-064-05W6/0,All Montney,,,,,,,
00/02-13-064-05W6/0,All Montney,,,,,,,
02/02-13-064-05W6/0,All Montney,29,,155.2789655,285.387931,7.638227458,50.46147548,70.76356813
02/15-13-064-05W6/0,All Montney,36,,119.0666667,178.4125,5.752631579,34.94292922,56.78717949
00/16-13-064-05W6/0,All Montney,32,,116,205.546875,2.599242101,32.92166589,57.88045956
06/12-16-064-05W6/0,All Montney,28,,162.2599643,901.9142857,11.7,41.83958276,74.6862069
00/02-17-064-05W6/0,All Montney,25,,180.277692,286.112,2.713461538,58.65669582,66.66497036
00/07-17-064-05W6/0,All Montney,29,,240,355.6965517,,,
02/07-17-064-05W6/0,All Montney,,,,,,,
03/09-17-064-05W6/0,All Montney,29,,161.0344828,330.0310345,,,
00/14-17-064-05W6/0,All Montney,27,,114.9814815,192.3518519,4.788956299,58.02908636,58.1469521
02/14-17-064-05W6/0,All Montney,28,,118,168.425,,,
00/16-21-064-05W6/0,All Montney,28,,121.6837857,137.4856071,5.199339749,52.84926487,58.75313224
02/16-21-064-05W6/0,All Montney,30,,160.0806667,282.8216667,6.992347357,49.70802457,71.22842958
00/03-22-064-05W6/0,All Montney,36,,125,410.9305556,4.876382195,57.98433572,65.59803562
02/03-22-064-05W6/0,All Montney,28,,159.9592857,1319.810714,11.30610883,47.44997666,70.61778772
03/04-22-064-05W6/0,All Montney,35,,126.3685714,273.2857143,6.387489597,55.12473009,67.26284785
04/04-22-064-05W6/0,All Montney,27,,245.3765185,433.6333333,7.125945534,51.69472772,65.90459863
05/04-22-064-05W6/0,All Montney,9,,213.4966667,423.0855556,41.75396154,57.07777778,52.5
06/04-22-064-05W6/0,All Montney,28,,159.9714286,363.2892857,6.532913754,49.11520121,63.87068793
02/05-22-064-05W6/0,All Montney,36,,114,141.5527778,6.685036997,44.34974962,60.73304841
03/05-22-064-05W6/0,All Montney,23,,159.9482609,1077.873913,12.20821948,45.55346126,70.8392738
03/12-22-064-05W6/0,All Montney,27,,165.7725926,293.2888889,5.647894883,50.19979366,67.2447744
00/01-28-064-05W6/0,All Montney,23,,120,176.1086957,,57.89719298,58.31838785
00/02-28-064-05W6/2,All Montney,,,,,,,
00/13-28-064-05W6/0,All Montney,,,,,,,
00/14-31-064-05W6/0,All Montney,24,,185.0208333,357.7333333,3.174846615,47.59268028,66.43622436
00/15-31-064-05W6/0,All Montney,29,,125.1310345,347.8275862,3.342789699,49.3764921,66.36286066
03/16-31-064-05W6/0,All Montney,27,,120.0925926,321.4288889,3.735085463,50.95011546,64.60812276
00/12-32-064-05W6/0,All Montney,30,,71.5,249.495,4.124392011,55.59141312,55.89836751
04/13-32-064-05W6/3,All Montney,19,,230.5,216.5842105,5.630137056,55.50548103,57.78539063
00/16-08-064-06W6/0,All Montney,19,,60,299.5668421,4.558833516,70.09858499,63.06086957
00/16-19-064-06W6/2,All Montney,,,,,,,
02/01-21-064-06W6/2,All Montney,29,,62.36689655,225.9482759,3.189262946,65.46909269,51.7549296
00/03-23-064-06W6/0,All Montney,,,,,,,
00/13-25-064-06W6/0,All Montney,32,,117.5,223.73125,2.731756377,43.98456962,60.39347399
02/13-25-064-06W6/0,All Montney,33,,109.8954545,215.9727273,5.377280251,47.81726235,61.81181792
00/14-25-064-06W6/0,All Montney,25,,99.19,140.4,0.1,53.26984947,
00/01-28-064-06W6/2,All Montney,16,,92.75625,372.939375,4.491764706,44.34675208,43.925
00/02-28-064-06W6/0,All Montney,17,,152.3,562.7730588,,,
02/16-28-064-06W6/0,All Montney,,,,,,,
02/04-29-064-06W6/0,All Montney,,,,,,,
00/03-36-064-06W6/0,All Montney,35,,111.8962857,228.7742857,4.987602253,50.14635137,61.63384106
00/01-26-064-08W6/2,All Montney,15,,60.03333333,117.25,3.112029254,62.11545357,53.96996182
00/14-26-064-08W6/0,All Montney,,,,,,,
00/16-28-065-02W6/2,All Montney,10,,100,719.11,8.433221514,25.17846784,31.38106118
00/04-16-065-03W6/0,All Montney,15,,68.04,118.3133333,6.071870763,54.70363043,43.12455151
00/04-17-065-03W6/0,All Montney,23,,49.39130435,60.92173913,3.845833333,45.30434783,17.5
02/11-17-065-03W6/2,All Montney,,,,,,,
00/03-20-065-03W6/0,All Montney,13,,94.61538462,694.51,,,
00/04-20-065-03W6/0,All Montney,15,,94.29653333,677.027,9.113013985,44.4596602,51.37855484
00/02-21-065-03W6/0,All Montney,19,,60.52631579,88.58,,,
02/10-21-065-03W6/2,All Montney,1,,200,1510,8.50615894,26.1,61.5
00/14-21-065-03W6/0,All Montney,21,,130.9994286,225.4571429,6.719805791,45.30754291,42.05936113
00/04-23-065-03W6/2,All Montney,30,,49.28266667,78.04233333,3.511733347,39.87810916,34.35280738
02/13-27-065-03W6/0,All Montney,19,,60.12105263,86.14842105,2.840277489,45.91320793,54.69206816
00/16-27-065-03W6/0,All Montney,25,,,,,,
02/15-28-065-03W6/0,All Montney,21,,117.85,260.9428571,5.561628162,55.92395613,44.24832476
00/16-28-065-03W6/3,All Montney,10,,100,206.86,3.959459459,36.09382847,49
00/14-30-065-03W6/2,All Montney,20,,75,423.35,,,
02/16-31-065-03W6/0,All Montney,23,,59.19217391,442.2886957,8.641266196,43.13270823,49.2558396
00/14-33-065-03W6/0,All Montney,25,,80,88.12,,,
00/04-35-065-03W6/2,All Montney,,,,,,,
00/02-18-065-04W6/0,All Montney,22,,78.39090909,94.55909091,1.907090324,54.36925119,46.55757343
00/11-32-065-04W6/0,All Montney,31,,114.5322581,138.1241935,5.738777281,44.30487799,51.32803721
00/13-32-065-04W6/0,All Montney,21,,63.71904762,201.552381,4.969803431,54.14037707,36.47156594
00/04-18-065-05W6/2,All Montney,20,,22,71.6775,,,
00/13-18-065-05W6/0,All Montney,,,,,,,
00/16-19-065-05W6/0,All Montney,13,,74.2,718.6951538,7.619652635,28.96204421,42.75491163
00/04-24-065-05W6/0,All Montney,,,,,,,
00/13-24-065-05W6/2,All Montney,18,,120,169.1388889,,,
00/13-24-065-05W6/3,All Montney,16,,120,196.11875,,,
00/01-25-065-05W6/0,All Montney,,,,,,,
00/09-27-065-05W6/0,All Montney,24,,42,130.3833333,4.67751502,44.3502086,37.43862968
02/14-29-065-05W6/0,All Montney,21,,55.19047619,157.9238095,3.496230853,61.78505164,47.45279821
00/16-32-065-05W6/0,All Montney,11,,76.29845455,580.3942727,7.747885777,31.56427639,45.26083659
00/13-34-065-05W6/0,All Montney,20,,16.655,64.426,3.376797954,37.8900522,37.18145512
00/03-01-065-06W6/0,All Montney,17,,100,395.2705882,,,
00/02-02-065-06W6/0,All Montney,15,,53.32666667,159.3133333,3.490898439,66.76717766,44.19275514
00/16-10-065-06W6/0,All Montney,2,,100,796,7.915025126,29.68050879,43.08944095
00/16-10-065-06W6/2,All Montney,24,,100,770.1666667,9.068602281,,66.43088028
00/12-17-065-06W6/0,All Montney,21,,100,778.9185714,,,
00/14-22-065-06W6/0,All Montney,20,,100,739.472,,,
00/15-22-065-06W6/0,All Montney,16,,100,796.7,9.494541884,49.07226713,63.97524843
00/16-22-065-06W6/0,All Montney,20,,100.16575,848.08825,9.421852707,40.88333867,62.909541
00/04-26-065-06W6/0,All Montney,21,,99.7772381,807.9086667,9.444797473,42.5828774,66.99238284
00/05-26-065-06W6/0,All Montney,22,,100,500.6568182,8.985508141,47.68989578,68.97734052
00/01-27-065-06W6/0,All Montney,16,,100,97.5,6.190641026,49.77660256,40.93549359
00/04-27-065-06W6/2,All Montney,20,,99.9865,809.526,9.428236878,36.01636217,68.97376612
00/16-27-065-06W6/0,All Montney,31,,100,781.0922581,10.06180101,44.95611982,67.46009589
00/16-32-065-06W6/0,All Montney,,,,,,,
00/16-32-065-06W6/2,All Montney,23,,100,738.5217391,,,
02/16-32-065-06W6/0,All Montney,24,,91.012375,719.6991667,10.30991167,47.01199521,62.58436201
00/11-33-065-06W6/0,All Montney,11,22.72727273,,,,,
00/11-33-065-06W6/2,All Montney,1,,50,74.04,,,
02/13-33-065-06W6/0,All Montney,23,,99.82865217,771.0317391,9.44152127,46.13692086,67.54256525
00/15-33-065-06W6/0,All Montney,22,,100.2294091,765.0378182,9.726319024,45.39804029,67.36040412
00/16-33-065-06W6/0,All Montney,20,,100,772.371,8.801376832,36.97199352,61.75943364
00/01-34-065-06W6/0,All Montney,32,,100,767.2865625,9.442325054,43.65692471,67.84381089
00/14-34-065-06W6/0,All Montney,18,,100,740.7594444,7.971102459,36.69385142,56.84491531
