"","x"
"178","02/04-14-077-15W6/0"
"179","02/04-29-077-10W6/0"
"180","02/06-30-078-11W6/0"
"181","02/09-23-075-03W6/2"
"182","02/14-34-077-11W6/0"
"183","00/01-23-080-13W6/0"
"184","00/01-24-080-15W6/0"
"185","00/02-04-079-19W6/0"
"186","00/02-07-080-17W6/0"
"187","00/03-08-080-19W6/0"
"188","00/03-12-078-19W6/0"
"189","00/04-26-080-16W6/0"
"190","00/05-29-080-15W6/0"
"191","00/06-10-079-15W6/0"
"192","00/08-26-080-16W6/0"
"193","00/08-27-079-14W6/0"
"194","00/09-03-079-17W6/0"
"195","00/10-08-080-19W6/0"
"196","00/10-29-080-18W6/0"
"197","00/12-09-080-16W6/0"
"198","00/12-12-080-18W6/0"
"199","00/12-21-079-13W6/0"
"200","00/12-25-080-16W6/0"
"201","00/12-26-080-16W6/0"
"202","00/12-32-080-07W6/2"
"203","00/13-03-080-17W6/0"
"204","00/13-04-079-18W6/0"
"205","00/13-09-080-16W6/0"
"206","00/13-12-080-18W6/0"
"207","00/13-13-080-18W6/0"
"208","00/13-26-080-16W6/0"
"209","00/13-32-078-18W6/2"
"210","00/14-26-080-16W6/0"
"211","00/14-31-079-12W6/0"
"212","00/15-36-079-15W6/0"
"213","00/16-25-080-16W6/0"
"214","00/16-31-080-15W6/0"
"215","02/01-09-079-11W6/0"
"216","02/01-26-079-13W6/0"
"217","02/04-07-079-11W6/0"
"218","02/05-06-080-15W6/2"
"219","02/06-19-080-18W6/0"
"220","02/07-08-080-17W6/0"
"221","02/08-23-080-18W6/0"
"222","02/08-27-079-13W6/0"
"223","02/09-17-080-18W6/0"
"224","02/09-26-080-16W6/0"
"225","02/09-27-079-18W6/0"
"226","03/01-23-080-18W6/0"
"227","03/05-18-080-17W6/0"
"228","03/05-30-080-15W6/0"
"229","03/16-14-080-18W6/0"
"230","04/09-14-080-18W6/0"
"231","00/01-06-081-15W6/0"
"232","00/01-16-081-17W6/0"
"233","00/01-19-081-17W6/0"
"234","00/01-28-083-25W6/0"
"235","00/02-14-081-18W6/0"
"236","00/04-05-081-15W6/0"
"237","00/04-06-082-19W6/0"
"238","00/04-14-081-17W6/0"
"239","00/04-27-081-19W6/0"
"240","00/05-01-081-16W6/0"
"241","00/05-26-088-23W6/0"
"242","00/06-03-082-19W6/0"
"243","00/06-12-081-20W6/0"
"244","00/07-17-087-23W6/0"
"245","00/07-30-082-20W6/5"
"246","00/08-06-081-17W6/0"
"247","00/09-16-081-17W6/0"
"248","00/10-02-081-16W6/0"
"249","00/10-21-087-23W6/0"
"250","00/11-27-087-06W6/0"
"251","00/11-36-088-03W6/0"
"252","00/12-01-081-16W6/0"
"253","00/12-11-081-17W6/0"
"254","00/14-33-081-19W6/2"
"255","00/16-18-081-17W6/0"
"256","00/16-30-087-03W6/2"
"257","00/A-073-B/093-P-09/0"
"258","00/A-100-A/093-P-09/0"
"259","00/B-073-B/093-P-09/0"
"260","00/B-090-A/093-P-09/2"
"261","00/C-099-A/093-P-09/0"
"262","00/D-058-B/093-P-09/0"
"263","00/D-090-A/093-P-09/0"
"264","02/01-03-082-18W6/0"
"265","02/01-06-081-15W6/0"
"266","02/01-16-081-17W6/0"
"267","02/04-03-082-19W6/0"
"268","02/08-03-082-18W6/0"
"269","02/08-16-081-17W6/0"
"270","02/10-27-086-01W6/0"
"271","02/12-01-081-16W6/0"
"272","02/12-06-082-19W6/0"
"273","02/12-11-081-17W6/0"
"274","02/13-11-081-17W6/0"
"275","02/16-14-082-20W6/0"
"276","02/16-18-081-17W6/0"
"277","03/08-16-081-17W6/0"
"278","03/12-11-081-17W6/0"
"279","03/13-11-081-17W6/0"
"280","03/16-18-081-17W6/0"
"281","03/16-22-086-01W6/0"
"282","04/04-08-081-16W6/0"
"283","04/08-16-081-17W6/0"
"284","04/13-11-081-17W6/0"
"285","04/16-18-081-17W6/0"
"286","05/13-11-081-17W6/0"
"287","00/A-008-F/094-G-01/0"
"288","00/A-021-G/093-P-09/0"
"289","00/A-034-H/093-P-09/0"
"290","00/A-045-E/094-G-01/0"
"291","00/A-050-H/093-P-09/0"
"292","00/A-052-B/094-B-09/0"
"293","00/A-054-I/094-B-01/0"
"294","00/A-055-D/094-A-13/0"
"295","00/A-076-F/094-B-08/0"
"296","00/A-080-J/094-B-09/0"
"297","00/A-091-G/094-B-09/0"
"298","00/A-094-F/094-B-16/0"
"299","00/B-012-K/094-B-08/0"
"300","00/B-013-H/093-P-09/0"
"301","00/B-018-H/093-P-09/0"
